SIZE_HA	FIRE_DATE	FEAT_AREA	FEAT_LEN
2.2	19350513	22745.1143	548.079
36.6	19380801	366171.7855	2393.8789
9.1	19320803	91812.992	1640.5815
4.6	19320803	45997.9786	1036.0168
1418.5	19330811	14185549.74	21566.9504
3117.9	19340725	31179716.47	26216.1277
5.5	19320816	55467.7258	864.5299
5.1	19320815	51781.1009	986.1437
540.4	19320803	5404791.15	9586.4234
1.9	19380629	19307.7465	501.2109
13.9	19380628	139931.6635	1394.6429
6.4	19340811	64299.5015	937.659
7.8	19370903	78364.5261	1083.7899
10.5	19380710	105367.4825	1222.0735
29.4	19340822	294141.0327	2182.7254
